,Roles,Companies,Locations,Requirements
4517,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
4518,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
4519,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4520,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
4521,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
4522,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
4523,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
4524,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
4525,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
4526,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4527,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
4528,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
4529,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
4530,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
4531,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
4532,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
4533,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
4534,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4535,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
4536,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
4537,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
4538,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
4539,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
4540,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
4541,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
4542,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
4543,Technical Assistant to the CTO at Byteworks Technology Solut...,careersome,Abuja,"Collect the related data, interview users and then issue a requirements document.
A degree in Computer Science or technology policy management or User…"
4544,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
4545,Database Administrators/Report and Analytics at Byteworks Te...,careersome,Abuja,"Maintain data standards, including adherence to the Data Protection Act.
Write database documentation, including data standards, procedures and definitions for…"
4546,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
4547,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
4548,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
4549,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
